simple_background,0,1821185,"/sbg,/simplebg,basic_background,basic_bg,blank_background,blank_bg,chromatic_background,chromatic_bg,empty_background,empty_bg,flat_background,flat_bg,generic_background,generic_bg,lazy_background,minimal_background,minimal_bg,minimalist_background,minimalist_bg,monochromatic_background,monochromatic_bg,monochrome_bg,plain_backgorund,plain_backgroudn,plain_background,plain_bg,simple_backgorund,simple_backgroudn,simple_backround,simple_bg,simplistic_background,simplistic_bg,solid_background,solid_bg,stoopidly_simple_background,stoopidly_simple_bg,undetailed_background,undetailed_bg,very_simple_background,very_simple_bg"
white_background,0,1497166,"/wbg,/whitebg,white_backgorund,white_backgroudn,white_backround,white_bg,whtie_background,whtie_bg"
flower,0,621692,"flover,flowers"
outdoors,0,537892,outdoor
sky,0,435522,"background_sky,dark_sky,light_sky"
indoors,0,360433,
outside,7,298679,"out_doors,out_side,outdoor,outisde,outise"
grey_background,0,264316,"/graybg,/greybg,dark_gray_background,dark_gray_bg,dark_grey_background,dark_grey_bg,gray_backgorund,gray_background,gray_backround,gray_bg,grey_backgorund,grey_backgroudn,grey_backround,grey_bg,light_gray_background,light_gray_bg,light_grey_background,light_grey_bg"
water,0,223006,open_water
detailed_background,7,206783,"complex_background,complex_bg,complicated_background,complicated_bg,detailed_backgorund,detailed_backgroudn,detailed_bg,detaled_background,detaled_bg,detalied_background,detalied_bg,full_background,full_bg,ornate_background,ornate_bg,realistic_background,realistic_bg"
inside,7,186075,"indoor,indoors_sex,room"
tree,0,167898,trees
gradient_background,0,140176,"/gbg,/gradientbg,background_gradient,gradiant_background,gradient_backgorund,gradient_backgroudn,gradient_bg"
window,0,132159,monotone_window
petals,0,130081,"flower_petal,flower_petals,petal"
blurry_background,0,129836,
blue_background,0,120874,"/bluebg,blue_backgorund,blue_backgroudn,blue_bg,dark_blue_background,dark_blue_bg,indigo_background,light_blue_background,light_blue_bg"
night,0,116617,"late_night,midnight,night_time,nighttime"
bed,0,107163,
leaf,0,105530,"leafs,leave,leaves"
ocean,0,101138,
pink_background,0,94245,"/pinkbg,light_pink_background,light_pink_bg,pink_backgorund,pink_backgroudn,pink_bg"
beach,0,92476,"beech,on_beach"
chair,0,91462,chairs
transparent_background,0,85878,"/tbg,/transparentbg,alpha_background,alpha_bg,clear_background,clear_bg,transparent_backgorund,transparent_backgroudn,transparent_bg,transparent_gif,transparent_png,trasnparent_background,trasnparent_bg"
table,0,84769,tables
black_background,0,80815,"/blackbg,black_backgorund,black_backgroudn,black_bg,blakc_background,blakc_bg"
moon,0,77337,"moon_background,moons"
grass,0,76288,
plant,0,73378,plants
night_sky,0,55380,
cherry_blossoms,0,55244,"cherry_trees,sakura_blossoms"
couch,0,52769,settee
sofa,7,47130,
desk,0,40794,desks
snow,0,39853,
starry_sky,0,37789,starry_night
forest,0,36005,"dark_forest,dark_woods,forests,woods"
rain,0,34833,
sunset,0,29304,
sea,7,26948,
city,0,25462,cities
mountain,0,24098,"montains,mountains"
underwater,0,22946,"under_sea,under_water"
door,0,22494,
classroom,0,18539,class_room
space,0,16330,"outer_space,outerspace"
field,0,14278,
bedroom,0,14006,"bed_room,bedchamber,bedroom_setting"
bathroom,0,11671,washroom
street,0,8399,
kitchen,0,6817,
bar,7,6765,
school,0,6302,
shop,0,5825,shops
library,0,5389,
ceiling,0,4979,
floor,0,4803,
hill,0,3746,hills
restaurant,0,3739,
desert,0,3652,
sunrise,0,3499,
town,0,3275,
alley,0,3063,alleyway
cafe,0,3008,café
store,7,2986,
office,0,2830,
garden,0,2162,
park,0,2067,
village,0,882,
meadow,0,830,
living_room,0,734,livingroom
